"case_id","round_1","round_2","round_3","round_4","round_6","round_7","round_8","round_9","round_10"
"C01","PASS","PASS","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"C02","NOT_RUN","PASS","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"C03","FAIL","PASS","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"C04","FAIL","PASS","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"C05","NOT_RUN","FAIL","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"C06","NOT_RUN","PASS","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"C07","NOT_RUN","PASS","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"C08","PASS","PASS","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"C09","NOT_RUN","PASS","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"C10","PASS","PASS","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"C11","PASS","PASS","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"C12","FAIL","PASS","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"C13","PASS","PASS","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"C14","PASS","PASS","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"C15","NOT_RUN","PASS","PASS","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"C16","NOT_RUN","PASS","FAIL","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"C17","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","FAIL","FAIL","FAIL","PASS","PASS"
"C18","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","PASS","PASS"
"C19","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS","PASS","PASS"
"C20","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","PASS"
